1	SKU ID	SKU_CODE	SKU INTLNAME	SKU LOCALNAME	SKU PRICE	PRD ID	PRD INTLNAME	PRD LOCALNAME	PRD SHORTDESC	LIN ID	FRANCHISEEN	FRANCHISECH	PCT ID CATEGORY	CATEGORYEN	CATEGORYCH	PCT ID ROUTINE	ROUTINEEN	ROUTINECH	备注	产品形式	功能系列	名称系列	二级分类	三级级分类	商品层-带作用系列	规范SKU名-规格	规格（ml）		产品组合明细	店铺
60407	245	00060407	Feria Bleach and Color	纷乐雅染浅发乳	59	31	Feria Bleach and Color	纷乐雅染浅发乳	Feria Bleach and Color 纷乐雅染浅发乳	113	Feria Color Booster	纷莹艳色染发凝露	5	Hair Color	染发产品	5	Hair Color	染发产品	ok	单品		纷乐雅	染发	染发	纷乐雅染浅发乳	纷乐雅染浅发乳	-			美发
60407	17304	00060407	Feria Bleach and Color	纷乐雅染浅发乳	59	31	Feria Bleach and Color	纷乐雅染浅发乳	Feria Bleach and Color 纷乐雅染浅发乳	113	Feria Color Booster	纷莹艳色染发凝露	5	Hair Color	染发产品	5	Hair Color	染发产品	ok	单品		纷乐雅	染发	染发	纷乐雅染浅发乳	纷乐雅染浅发乳	-			美发
60407	720	60407	FERIA BLEACH	纷乐雅染浅发乳BLEACH	59	31	Feria Bleach and Color	纷乐雅染浅发乳	Feria Bleach and Color 纷乐雅染浅发乳	113	Feria Color Booster	纷莹艳色染发凝露	5	Hair Color	染发产品	5	Hair Color	染发产品	ok	单品		纷乐雅	染发	染发	纷乐雅染浅发乳	纷乐雅染浅发乳	-			美发
60407	19221	60407	FERIA BLEACH	纷乐雅染浅发乳BLEACH	59	31	Feria Bleach and Color	纷乐雅染浅发乳	Feria Bleach and Color 纷乐雅染浅发乳	113	Feria Color Booster	纷莹艳色染发凝露	5	Hair Color	染发产品	5	Hair Color	染发产品	ok	单品		纷乐雅	染发	染发	纷乐雅染浅发乳	纷乐雅染浅发乳	-			美发
6056095	1047	06056095	FERIA 3D COLOR 56	纷莹护发染发乳56号50ML+50ML+20ML	75	30	Feria 3D Color	纷莹护发染发乳	Feria 3D Color 纷莹护发染发乳	112	Feria 3D Color	纷莹护发染发乳	5	Hair Color	染发产品	5	Hair Color	染发产品	ok	单品		纷莹	染发	染发	纷莹护发染发乳56	纷莹护发染发乳56-120ml	120ml			美发
6056095	20291	06056095	FERIA 3D COLOR 56	纷莹护发染发乳56号50ML+50ML+20ML	75	30	Feria 3D Color	纷莹护发染发乳	Feria 3D Color 纷莹护发染发乳	112	Feria 3D Color	纷莹护发染发乳	5	Hair Color	染发产品	5	Hair Color	染发产品	ok	单品		纷莹	染发	染发	纷莹护发染发乳56	纷莹护发染发乳56-120ml	120ml			美发
6056095	743	6056095	FERIA 3D COLOR 561	纷莹护发染发乳56号50ML+50ML+20ML1	75	30	Feria 3D Color	纷莹护发染发乳	Feria 3D Color 纷莹护发染发乳	112	Feria 3D Color	纷莹护发染发乳	5	Hair Color	染发产品	5	Hair Color	染发产品	ok	单品		纷莹	染发	染发	纷莹护发染发乳56	纷莹护发染发乳56-120ml	120ml			美发
6056095	19244	6056095	FERIA 3D COLOR 561	纷莹护发染发乳56号50ML+50ML+20ML1	75	30	Feria 3D Color	纷莹护发染发乳	Feria 3D Color 纷莹护发染发乳	112	Feria 3D Color	纷莹护发染发乳	5	Hair Color	染发产品	5	Hair Color	染发产品	ok	单品		纷莹	染发	染发	纷莹护发染发乳56	纷莹护发染发乳56-120ml	120ml			美发
10103195	219	10103195	Feria 3D Color 59	纷莹 59	69	30	Feria 3D Color	纷莹护发染发乳	Feria 3D Color 纷莹护发染发乳	112	Feria 3D Color	纷莹护发染发乳	5	Hair Color	染发产品	5	Hair Color	染发产品	ok	单品		纷莹	染发	染发	纷莹护发染发乳59	纷莹护发染发乳59	-			美发
10103195	17280	10103195	Feria 3D Color 59	纷莹 59	69	30	Feria 3D Color	纷莹护发染发乳	Feria 3D Color 纷莹护发染发乳	112	Feria 3D Color	纷莹护发染发乳	5	Hair Color	染发产品	5	Hair Color	染发产品	ok	单品		纷莹	染发	染发	纷莹护发染发乳59	纷莹护发染发乳59	-			美发
